tgt,input,show_inp,ent1,ent2,id
"Message-Topic(e2,e1)",Various ENT_1_START configurations ENT_1_END have been illustrated in the ENT_2_START drawings ENT_2_END .,Various ENT_1_START configurations ENT_1_END have been illustrated in the ENT_2_START drawings ENT_2_END .,configurations,drawings,270
"Member-Collection(e2,e1)","When the pilots were flying over a ENT_1_START colony ENT_1_END of ENT_2_START penguins ENT_2_END , the birds were watching the planes , but instead of moving their bodies to follow the aircrafts they only moved their heads which lead them fall backwards over .","When the pilots were flying over a ENT_1_START colony ENT_1_END of ENT_2_START penguins ENT_2_END , the birds were watching the planes , but instead of moving their bodies to follow the aircrafts they only moved their heads which lead them fall backwards over .",colony,penguins,6694
"Entity-Destination(e1,e2)",The ENT_1_START virus ENT_1_END is exported to the ENT_2_START hard disk ENT_2_END .,The ENT_1_START virus ENT_1_END is exported to the ENT_2_START hard disk ENT_2_END .,virus,hard disk,700
"Component-Whole(e1,e2)","Holding firmly onto the ENT_1_START stick ENT_1_END of the ENT_2_START plunger ENT_2_END , plant the mouth of it over the toilet hole .","Holding firmly onto the ENT_1_START stick ENT_1_END of the ENT_2_START plunger ENT_2_END , plant the mouth of it over the toilet hole .",stick,plunger,2705
"Cause-Effect(e1,e2)","There are many types and causes of headaches , from ENT_1_START tension ENT_1_END ENT_2_START headaches ENT_2_END due to stress to migraines triggered by certain foods .","There are many types and causes of headaches , from ENT_1_START tension ENT_1_END ENT_2_START headaches ENT_2_END due to stress to migraines triggered by certain foods .",tension,headaches,4585
"Content-Container(e1,e2)",The mp3 ENT_1_START player ENT_1_END was inside a ENT_2_START silicone case ENT_2_END that covered everything but the click wheel and the screen .,The mp3 ENT_1_START player ENT_1_END was inside a ENT_2_START silicone case ENT_2_END that covered everything but the click wheel and the screen .,player,silicone case,5121
"Cause-Effect(e2,e1)","Short - term side effects are uncommon , but include ENT_1_START headache ENT_1_END from ENT_2_START eyestrain ENT_2_END , nausea , agitation or nervousness .","Short - term side effects are uncommon , but include ENT_1_START headache ENT_1_END from ENT_2_START eyestrain ENT_2_END , nausea , agitation or nervousness .",headache,eyestrain,7588
"Product-Producer(e1,e2)","There 's a new exhibition of ENT_1_START works ENT_1_END by the ENT_2_START quilters ENT_2_END of Gee 's Bend , Alabama , whose lives have been transformed by worldwide acclaim for their artistry .","There 's a new exhibition of ENT_1_START works ENT_1_END by the ENT_2_START quilters ENT_2_END of Gee 's Bend , Alabama , whose lives have been transformed by worldwide acclaim for their artistry .",works,quilters,4477
"Component-Whole(e1,e2)",Bernanke is featured on the ENT_1_START cover ENT_1_END of the ENT_2_START magazine ENT_2_END that hits stores Friday .,Bernanke is featured on the ENT_1_START cover ENT_1_END of the ENT_2_START magazine ENT_2_END that hits stores Friday .,cover,magazine,1254
"Cause-Effect(e2,e1)","The greatest impact of the tsunami was generally in an east - west direction , so the ENT_1_START havoc ENT_1_END caused by the ENT_2_START tsunami ENT_2_END along the southwestern shores of Sri Lanka was not as severe as along the eastern coast .","The greatest impact of the tsunami was generally in an east - west direction , so the ENT_1_START havoc ENT_1_END caused by the ENT_2_START tsunami ENT_2_END along the southwestern shores of Sri Lanka was not as severe as along the eastern coast .",havoc,tsunami,6321
Other,"The Earth was the center of the universe , and the ENT_1_START sky ENT_1_END was enclosed in a ENT_2_START dome ENT_2_END .","The Earth was the center of the universe , and the ENT_1_START sky ENT_1_END was enclosed in a ENT_2_START dome ENT_2_END .",sky,dome,2390
Other,A ENT_1_START dehydrator ENT_1_END is best for the ENT_2_START drying ENT_2_END of high moisture herbs .,A ENT_1_START dehydrator ENT_1_END is best for the ENT_2_START drying ENT_2_END of high moisture herbs .,dehydrator,drying,6070
"Member-Collection(e2,e1)","Along with the terracotta army , comes a ENT_1_START shuffle ENT_1_END of terracotta ENT_2_START bureaucrats ENT_2_END : identified by the knives hanging from their belts , which would have been used to correct mistakes written on strips of bamboo .","Along with the terracotta army , comes a ENT_1_START shuffle ENT_1_END of terracotta ENT_2_START bureaucrats ENT_2_END : identified by the knives hanging from their belts , which would have been used to correct mistakes written on strips of bamboo .",shuffle,bureaucrats,3338
"Message-Topic(e1,e2)","A variety of methods are known , but only a few ENT_1_START papers ENT_1_END give details of equipment ENT_2_START construction ENT_2_END .","A variety of methods are known , but only a few ENT_1_START papers ENT_1_END give details of equipment ENT_2_START construction ENT_2_END .",papers,construction,1061
"Entity-Destination(e1,e2)",The hotel released ENT_1_START effluent ENT_1_END into the ENT_2_START lake ENT_2_END .,The hotel released ENT_1_START effluent ENT_1_END into the ENT_2_START lake ENT_2_END .,effluent,lake,1969
"Member-Collection(e2,e1)",I will leave it up to Wes to tell you about the ENT_1_START mask ENT_1_END of ENT_2_START raccoons ENT_2_END we encountered on the trip .,I will leave it up to Wes to tell you about the ENT_1_START mask ENT_1_END of ENT_2_START raccoons ENT_2_END we encountered on the trip .,mask,raccoons,1004
"Component-Whole(e1,e2)",Andre Hartman touches the ENT_1_START snout ENT_1_END of the great white ENT_2_START shark ENT_2_END .,Andre Hartman touches the ENT_1_START snout ENT_1_END of the great white ENT_2_START shark ENT_2_END .,snout,shark,2507
"Component-Whole(e2,e1)",Those ENT_1_START canvases ENT_1_END by Mark Rothko with luminous ENT_2_START colors ENT_2_END floating in space make me swoon .,Those ENT_1_START canvases ENT_1_END by Mark Rothko with luminous ENT_2_START colors ENT_2_END floating in space make me swoon .,canvases,colors,4931
Other,"This "" all around immature nice guy "" is , above all , a ENT_1_START choreographer ENT_1_END , having devised the ENT_2_START moves ENT_2_END to the film adaptation of Hairspray .","This "" all around immature nice guy "" is , above all , a ENT_1_START choreographer ENT_1_END , having devised the ENT_2_START moves ENT_2_END to the film adaptation of Hairspray .",choreographer,moves,265
"Cause-Effect(e2,e1)",Nurses ' ENT_1_START militancy ENT_1_END stemmed from two different kinds of ENT_2_START experiences ENT_2_END .,Nurses ' ENT_1_START militancy ENT_1_END stemmed from two different kinds of ENT_2_START experiences ENT_2_END .,militancy,experiences,2423
"Cause-Effect(e1,e2)","In the 1998 crisis , capital ENT_1_START flight ENT_1_END caused a ENT_2_START crisis ENT_2_END on the currency markets , as the removal of funds from Russia necessarily entailed the conversion of rubles to dollars .","In the 1998 crisis , capital ENT_1_START flight ENT_1_END caused a ENT_2_START crisis ENT_2_END on the currency markets , as the removal of funds from Russia necessarily entailed the conversion of rubles to dollars .",flight,crisis,3879
"Cause-Effect(e2,e1)","Cervical strain results from the physical stresses of everyday life , including poor posture , muscle ENT_1_START tension ENT_1_END from psychologic stress or ENT_2_START poor sleeping ENT_2_END .","Cervical strain results from the physical stresses of everyday life , including poor posture , muscle ENT_1_START tension ENT_1_END from psychologic stress or ENT_2_START poor sleeping ENT_2_END .",tension,poor sleeping,5639
"Entity-Origin(e1,e2)",A ENT_1_START man ENT_1_END who fell from a ENT_2_START bridge ENT_2_END along Interstate 29/35 after running from a minor crash has died .,A ENT_1_START man ENT_1_END who fell from a ENT_2_START bridge ENT_2_END along Interstate 29/35 after running from a minor crash has died .,man,bridge,699
"Product-Producer(e1,e2)","When the Amendment was transcribed , the semicolon in the religious exemption portion was changed to a ENT_1_START comma ENT_1_END by the Senate ENT_2_START scribe ENT_2_END .","When the Amendment was transcribed , the semicolon in the religious exemption portion was changed to a ENT_1_START comma ENT_1_END by the Senate ENT_2_START scribe ENT_2_END .",comma,scribe,437
Other,"While he was freeing himself from the ENT_1_START clutches ENT_1_END of the ENT_2_START dishwasher ENT_2_END , he ripped off some of his skin , revealing his bionic arm .","While he was freeing himself from the ENT_1_START clutches ENT_1_END of the ENT_2_START dishwasher ENT_2_END , he ripped off some of his skin , revealing his bionic arm .",clutches,dishwasher,5460
"Entity-Origin(e1,e2)",I notice that some Indian ENT_1_START actors ENT_1_END from Bollywood ENT_2_START movies ENT_2_END sometimes star in Punjabi movies .,I notice that some Indian ENT_1_START actors ENT_1_END from Bollywood ENT_2_START movies ENT_2_END sometimes star in Punjabi movies .,actors,movies,6174
"Instrument-Agency(e2,e1)",The present ENT_1_START invention ENT_1_END processes a transaction using a plurality of ENT_2_START servers ENT_2_END .,The present ENT_1_START invention ENT_1_END processes a transaction using a plurality of ENT_2_START servers ENT_2_END .,invention,servers,6344
"Member-Collection(e2,e1)",The Government spent nearly 10 m euro of taxpayers ' money this year to cover the salaries of the ever - increasing ENT_1_START coterie ENT_1_END of special ENT_2_START advisers ENT_2_END .,The Government spent nearly 10 m euro of taxpayers ' money this year to cover the salaries of the ever - increasing ENT_1_START coterie ENT_1_END of special ENT_2_START advisers ENT_2_END .,coterie,advisers,3385
"Content-Container(e1,e2)",The second ENT_1_START router ENT_1_END was in a ENT_2_START box ENT_2_END under the overhang of the bathrooms at the top part of the map .,The second ENT_1_START router ENT_1_END was in a ENT_2_START box ENT_2_END under the overhang of the bathrooms at the top part of the map .,router,box,4709
"Cause-Effect(e2,e1)","Even though his 16 - month old suffered from severe ENT_1_START burns ENT_1_END on her body caused by ENT_2_START boiling water ENT_2_END spilled on her , father refuses to allow ambulance to take his daughter to Hadassah because ' rabbi advised otherwise ' .","Even though his 16 - month old suffered from severe ENT_1_START burns ENT_1_END on her body caused by ENT_2_START boiling water ENT_2_END spilled on her , father refuses to allow ambulance to take his daughter to Hadassah because ' rabbi advised otherwise ' .",burns,boiling water,1327
Other,Our ENT_1_START company ENT_1_END has entered into the exclusive ENT_2_START retail business ENT_2_END and plans to open 60 retail stores in the country in the next 5 years .,Our ENT_1_START company ENT_1_END has entered into the exclusive ENT_2_START retail business ENT_2_END and plans to open 60 retail stores in the country in the next 5 years .,company,retail business,3091
"Message-Topic(e1,e2)",A ENT_1_START war ENT_1_END of words erupts between Sinn Fein and the DUP over the ENT_2_START devolution ENT_2_END of policing and justice powers to Northern Ireland .,A ENT_1_START war ENT_1_END of words erupts between Sinn Fein and the DUP over the ENT_2_START devolution ENT_2_END of policing and justice powers to Northern Ireland .,war,devolution,3379
Other,"He founded the Emmaus Program , an annual ENT_1_START convocation ENT_1_END of diocesan ENT_2_START clergy ENT_2_END for their continuing education and spiritual formation , in 1983 .","He founded the Emmaus Program , an annual ENT_1_START convocation ENT_1_END of diocesan ENT_2_START clergy ENT_2_END for their continuing education and spiritual formation , in 1983 .",convocation,clergy,3686
"Entity-Origin(e1,e2)","The ENT_1_START name ENT_1_END given to our cluster , Valhalla , comes from Norse ENT_2_START mythology ENT_2_END .","The ENT_1_START name ENT_1_END given to our cluster , Valhalla , comes from Norse ENT_2_START mythology ENT_2_END .",name,mythology,7556
"Content-Container(e2,e1)","Two hours later , I had a ENT_1_START bottle ENT_1_END full of warm ENT_2_START water ENT_2_END .","Two hours later , I had a ENT_1_START bottle ENT_1_END full of warm ENT_2_START water ENT_2_END .",bottle,water,4568
"Component-Whole(e1,e2)","In one of the scenes when Robert and Francessca are talking in front of his truck , a reflection of one of the movie set lights is seen on the ENT_1_START hood ENT_1_END of the ENT_2_START truck ENT_2_END .","In one of the scenes when Robert and Francessca are talking in front of his truck , a reflection of one of the movie set lights is seen on the ENT_1_START hood ENT_1_END of the ENT_2_START truck ENT_2_END .",hood,truck,6339
"Entity-Origin(e1,e2)","Just like consulting a cookbook , starting out by using a ENT_1_START recipe ENT_1_END from a ENT_2_START book ENT_2_END or website is great .","Just like consulting a cookbook , starting out by using a ENT_1_START recipe ENT_1_END from a ENT_2_START book ENT_2_END or website is great .",recipe,book,3788
"Content-Container(e1,e2)","They went to the mall where my ENT_1_START wallet ENT_1_END was locked in a ENT_2_START safe ENT_2_END that very few people knew how to open , but they persevered .","They went to the mall where my ENT_1_START wallet ENT_1_END was locked in a ENT_2_START safe ENT_2_END that very few people knew how to open , but they persevered .",wallet,safe,2288
"Member-Collection(e2,e1)","The day after they had marvelled at a ENT_1_START fluther ENT_1_END of ENT_2_START jellyfish ENT_2_END , the girl looked up and frowned in confusion .","The day after they had marvelled at a ENT_1_START fluther ENT_1_END of ENT_2_START jellyfish ENT_2_END , the girl looked up and frowned in confusion .",fluther,jellyfish,747
"Component-Whole(e1,e2)","This ENT_1_START area ENT_1_END is part of the association ENT_2_START cortex ENT_2_END , regions of the brain responsible for incorporating and synthesizing information from multiple other brain regions .","This ENT_1_START area ENT_1_END is part of the association ENT_2_START cortex ENT_2_END , regions of the brain responsible for incorporating and synthesizing information from multiple other brain regions .",area,cortex,4299
Other,These Hebrew histories tell the story of a people 's upward ENT_1_START growth ENT_1_END from ENT_2_START savagery ENT_2_END .,These Hebrew histories tell the story of a people 's upward ENT_1_START growth ENT_1_END from ENT_2_START savagery ENT_2_END .,growth,savagery,7128
"Product-Producer(e1,e2)","A state ENT_1_START church ENT_1_END is created by the ENT_2_START state ENT_2_END , as in the cases of the Anglican Church , created by Henry VIII .","A state ENT_1_START church ENT_1_END is created by the ENT_2_START state ENT_2_END , as in the cases of the Anglican Church , created by Henry VIII .",church,state,1174
"Component-Whole(e2,e1)",This ENT_1_START dryer ENT_1_END has a ENT_2_START sensor ENT_2_END that is supposed to sense when the clothes are dry .,This ENT_1_START dryer ENT_1_END has a ENT_2_START sensor ENT_2_END that is supposed to sense when the clothes are dry .,dryer,sensor,4517
Other,"The city accuses Wells Fargo of engaging in illegal "" reverse redlining "" - targeting black neighborhoods for bad ENT_1_START loans ENT_1_END that resulted in mass ENT_2_START foreclosures ENT_2_END .","The city accuses Wells Fargo of engaging in illegal "" reverse redlining "" - targeting black neighborhoods for bad ENT_1_START loans ENT_1_END that resulted in mass ENT_2_START foreclosures ENT_2_END .",loans,foreclosures,3588
"Cause-Effect(e2,e1)",Landrieu where he saw firsthand the ENT_1_START destruction ENT_1_END caused by the ENT_2_START hurricanes ENT_2_END and the failure of the storm protection system .,Landrieu where he saw firsthand the ENT_1_START destruction ENT_1_END caused by the ENT_2_START hurricanes ENT_2_END and the failure of the storm protection system .,destruction,hurricanes,5033
"Component-Whole(e2,e1)",The morning ENT_1_START session ENT_1_END of the symposium comprises ENT_2_START contributions ENT_2_END from former group members and ends with a reunion lunch for the attendees .,The morning ENT_1_START session ENT_1_END of the symposium comprises ENT_2_START contributions ENT_2_END from former group members and ends with a reunion lunch for the attendees .,session,contributions,5966
"Cause-Effect(e2,e1)","The Archbishop of York , Dr John Sentamu , visited the stoneyard to survey the ENT_1_START damage ENT_1_END caused by the ENT_2_START fire ENT_2_END .","The Archbishop of York , Dr John Sentamu , visited the stoneyard to survey the ENT_1_START damage ENT_1_END caused by the ENT_2_START fire ENT_2_END .",damage,fire,3029
"Component-Whole(e2,e1)",The ENT_1_START recommendations ENT_1_END contained the following ENT_2_START key points ENT_2_END and highlights .,The ENT_1_START recommendations ENT_1_END contained the following ENT_2_START key points ENT_2_END and highlights .,recommendations,key points,7426
"Entity-Destination(e1,e2)",The corpses were then placed in cotton cloth wrappings and put inside of a wooden ENT_1_START case ENT_1_END that was then put inside of another ENT_2_START case ENT_2_END that was decorated with details of their life and a mask of their face .,The corpses were then placed in cotton cloth wrappings and put inside of a wooden ENT_1_START case ENT_1_END that was then put inside of another ENT_2_START case ENT_2_END that was decorated with details of their life and a mask of their face .,case,case,3039
"Component-Whole(e2,e1)",The 1858 exhibition was the first ENT_1_START exhibition ENT_1_END of ENT_2_START photographs ENT_2_END to be held in any museum .,The 1858 exhibition was the first ENT_1_START exhibition ENT_1_END of ENT_2_START photographs ENT_2_END to be held in any museum .,exhibition,photographs,4499
"Message-Topic(e1,e2)",Quo is a monthly ENT_1_START magazine ENT_1_END that informs about ENT_2_START science ENT_2_END through thinking and entertainment .,Quo is a monthly ENT_1_START magazine ENT_1_END that informs about ENT_2_START science ENT_2_END through thinking and entertainment .,magazine,science,2878
"Cause-Effect(e2,e1)",Swissair was a victim of the clandestine wealth - transfer plaguing the productive sector as a result of the falling interest - rate ENT_1_START structure ENT_1_END caused by bond ENT_2_START speculation ENT_2_END .,Swissair was a victim of the clandestine wealth - transfer plaguing the productive sector as a result of the falling interest - rate ENT_1_START structure ENT_1_END caused by bond ENT_2_START speculation ENT_2_END .,structure,speculation,811
"Member-Collection(e2,e1)","The key to Thirteen 's return to form is having Danny Ocean ( Clooney ) and his merry ENT_1_START ratpack ENT_1_END of expert ENT_2_START thieves ENT_2_END and con men reteam in Las Vegas , site of their original big score in Eleven .","The key to Thirteen 's return to form is having Danny Ocean ( Clooney ) and his merry ENT_1_START ratpack ENT_1_END of expert ENT_2_START thieves ENT_2_END and con men reteam in Las Vegas , site of their original big score in Eleven .",ratpack,thieves,2521
"Member-Collection(e1,e2)","A ENT_1_START deputy ENT_1_END from Sarkozy 's ruling UMP ENT_2_START party ENT_2_END , Etienne Pinte , also said he was "" very shocked "" by the charter flight .","A ENT_1_START deputy ENT_1_END from Sarkozy 's ruling UMP ENT_2_START party ENT_2_END , Etienne Pinte , also said he was "" very shocked "" by the charter flight .",deputy,party,1787
"Instrument-Agency(e2,e1)",You are in the chair while the ENT_1_START dentist ENT_1_END gets the ENT_2_START drill ENT_2_END ready to begin work on your teeth .,You are in the chair while the ENT_1_START dentist ENT_1_END gets the ENT_2_START drill ENT_2_END ready to begin work on your teeth .,dentist,drill,7623
"Cause-Effect(e2,e1)","The ENT_1_START sadness ENT_1_END from ENT_2_START divorce ENT_2_END meant more if you were aware she was married very briefly to choreographer / director Michael Bennett , who shaped her career , then created the "" Chorus Line "" character around her in 1975 .","The ENT_1_START sadness ENT_1_END from ENT_2_START divorce ENT_2_END meant more if you were aware she was married very briefly to choreographer / director Michael Bennett , who shaped her career , then created the "" Chorus Line "" character around her in 1975 .",sadness,divorce,4536
"Cause-Effect(e2,e1)",Ho Chi Minh City and Hanoi are in ENT_1_START floods ENT_1_END after the ENT_2_START rain ENT_2_END .,Ho Chi Minh City and Hanoi are in ENT_1_START floods ENT_1_END after the ENT_2_START rain ENT_2_END .,floods,rain,2591
"Cause-Effect(e2,e1)",ENT_1_START Leakage ENT_1_END and fire caused due to ENT_2_START corrosion ENT_2_END of bypass piping for recirculation gas at a fuel oil desulphurization unit .,ENT_1_START Leakage ENT_1_END and fire caused due to ENT_2_START corrosion ENT_2_END of bypass piping for recirculation gas at a fuel oil desulphurization unit .,ENT_1_START Leakage,corrosion,80
"Message-Topic(e1,e2)",The conclusion ENT_1_START chapter ENT_1_END is cautious and organised around the six ENT_2_START themes ENT_2_END of the book .,The conclusion ENT_1_START chapter ENT_1_END is cautious and organised around the six ENT_2_START themes ENT_2_END of the book .,chapter,themes,1988
"Instrument-Agency(e1,e2)",A ENT_1_START van ENT_1_END used by ENT_2_START debtors ENT_2_END in the business of transporting passengers was a tool of the trade for lien avoidance purposes .,A ENT_1_START van ENT_1_END used by ENT_2_START debtors ENT_2_END in the business of transporting passengers was a tool of the trade for lien avoidance purposes .,van,debtors,1707
"Content-Container(e1,e2)","When I opened the box , the ENT_1_START cheesecake ENT_1_END was inside a silver foil ENT_2_START container ENT_2_END .","When I opened the box , the ENT_1_START cheesecake ENT_1_END was inside a silver foil ENT_2_START container ENT_2_END .",cheesecake,container,2691
"Product-Producer(e1,e2)",A ENT_1_START food ENT_1_END and beverage ENT_2_START manufacturer ENT_2_END found that lack of partnered planning with their service provider counterparts deeply divided the two sides .,A ENT_1_START food ENT_1_END and beverage ENT_2_START manufacturer ENT_2_END found that lack of partnered planning with their service provider counterparts deeply divided the two sides .,food,manufacturer,640
"Content-Container(e1,e2)",The ENT_1_START tea ENT_1_END was in a ENT_2_START cup ENT_2_END and not as the menu suggested in a pot .,The ENT_1_START tea ENT_1_END was in a ENT_2_START cup ENT_2_END and not as the menu suggested in a pot .,tea,cup,6118
"Message-Topic(e2,e1)",Samples of ENT_1_START good practice ENT_1_END were highlighted through ENT_2_START film clips ENT_2_END presented to the audience .,Samples of ENT_1_START good practice ENT_1_END were highlighted through ENT_2_START film clips ENT_2_END presented to the audience .,good practice,film clips,5314
"Instrument-Agency(e2,e1)","A ENT_1_START rower ENT_1_END has one ENT_2_START oar ENT_2_END in sweep rowing , an oar in each hand in sculling .","A ENT_1_START rower ENT_1_END has one ENT_2_START oar ENT_2_END in sweep rowing , an oar in each hand in sculling .",rower,oar,7953
"Entity-Destination(e1,e2)",The ENT_1_START cops ENT_1_END moved into the floating ENT_2_START hotels ENT_2_END .,The ENT_1_START cops ENT_1_END moved into the floating ENT_2_START hotels ENT_2_END .,cops,hotels,751
Other,It also includes an automatic purge valve for quick ENT_1_START equalization ENT_1_END after ENT_2_START changes ENT_2_END in atmospheric pressure .,It also includes an automatic purge valve for quick ENT_1_START equalization ENT_1_END after ENT_2_START changes ENT_2_END in atmospheric pressure .,equalization,changes,7436
"Component-Whole(e1,e2)",Brightly colored honey dipper beads and chunky disk ENT_1_START rings ENT_1_END make up this all wood foot ENT_2_START toy ENT_2_END .,Brightly colored honey dipper beads and chunky disk ENT_1_START rings ENT_1_END make up this all wood foot ENT_2_START toy ENT_2_END .,rings,toy,6992
"Entity-Origin(e2,e1)","An overdose of ENT_1_START lime ENT_1_END ENT_2_START juice ENT_2_END with salt also acts as an excellent purgative without any side effects , thereby giving relief in constipation .","An overdose of ENT_1_START lime ENT_1_END ENT_2_START juice ENT_2_END with salt also acts as an excellent purgative without any side effects , thereby giving relief in constipation .",lime,juice,558
"Member-Collection(e2,e1)","A large wading bird ENT_1_START rookery ENT_1_END of ENT_2_START egrets ENT_2_END , herons , ibis and anhinga is along the lake edge at the east side of the park .","A large wading bird ENT_1_START rookery ENT_1_END of ENT_2_START egrets ENT_2_END , herons , ibis and anhinga is along the lake edge at the east side of the park .",rookery,egrets,5120
"Component-Whole(e1,e2)",A high voltage coupling capacitor is added at the input as well as a small ENT_1_START hole ENT_1_END in the ENT_2_START metal box ENT_2_END in order to provide screwdriver adjustment to the gain control potentiometer .,A high voltage coupling capacitor is added at the input as well as a small ENT_1_START hole ENT_1_END in the ENT_2_START metal box ENT_2_END in order to provide screwdriver adjustment to the gain control potentiometer .,hole,metal box,7764
"Entity-Origin(e1,e2)",He bought ENT_1_START tickets ENT_1_END for the local train from the ticket ENT_2_START machines ENT_2_END or staffed kiosks .,He bought ENT_1_START tickets ENT_1_END for the local train from the ticket ENT_2_START machines ENT_2_END or staffed kiosks .,tickets,machines,5000
